FOOD INSECURITY CHALLENGES WITHIN KEFFI METROPOLIS,,,,,,,,,,
RESPONDENT,GENDER,SEX,NOMC,NOFC,MOST FOOD ITEM PURCHASAED,LEAST FOOD ITEM PURCHASAED,SALES PER WEEK,METHOD OF PAYMENT,SHOP OWNERSHIP,RECORD UPDATE
1,34,FEMALE,10,45,GARRI,NOODLES,"200,000",CASH,RENT,MONTHLY
2,29,MALE,15,40,RICE,MACCARONI,"250,000",CASH & CASHLESS,RENT,DAILY
3,35,FEMALE,5,40,VEGETABLE OIL,PALM OIL,"500,000",CASH & CASHLESS,,NO RECORD
4,30,FEMALE,10,35,GARRI & GROUNDNUT,RICE,"200,000",CASH,RENT,MONTHLY
5,33,FEMALE,8,30,CORN FLOUR,RICE,"300,000",CASH,RENT,WEEKLY
6,54,MALE,50,70,RICE & SPAGHETTI,NOODLES,"2,000,000",CASH & CASHLESS,SELF OWN,WEEKLY
7,48,MALE,15,40,RICE,NOODLES,"500,000",CASH & CASHLESS,RENT,WEEKLY
8,35,FEMALE,15,40,CORN FLOUR,RICE,"250,000",CASH & CASHLESS,RENT,MONTHLY
9,57,MALE,10,40,RICE,BEANS,"250,000",CASH,RENT,MONTHLY
10,29,MALE,20,35,PALM OIL,VEGETABLE OIL,"200,000",CASH,RENT,MONTHLY
11,33,FEMALE,20,30,RICE,NOODLES,"300,000",CASH & CASHLESS,SELF OWN,DAILY
12,34,FEMALE,25,35,MAIZE,RICE,"200,000",CASH,RENT,MONTHLY
13,35,MALE,35,45,CORN FLOUR & BEANS,RICE,"300,000",CASH & CASHLESS,RENT,MONTHLY
14,30,MALE,10,20,SPAGHETTI,RICE,"150,000",CASH & CASHLESS,RENT,WEEKLY
15,56,FEMALE,30,45,CASSAVA FLOUR,RICE & BEANS,"250,000",CASH & CASHLESS,SELF OWN,DAILY
16,34,MALE,50,70,CORN FLOUR,RICE,"500,000",CASH & CASHLESS,RENT,DAILY
17,29,FEMALE,100,200,BEANS,GROUND NUT,,CASH & CASHLESS,RENT,NO RECORD
18,25,FEMALE,20,30,BEANS,GROUND NUT,,CASH,RENT,NO RECORD
19,24,MALE,25,30,BANBARA NUT,CORN,,CASH,RENT,DAILY
20,29,MALE,10,15,RICE &CORN,BEANS & WHITE RICE,,CASH & CASHLESS,RENT,NO RECORD
21,22,FEMALE,20,50,RICE,GROUND NUT,,CASH,RENT,DAILY
22,25,MALE,75,100,RICE,MILLET,"250,000",CASH,RENT,WEEKLY
23,30,FEMALE,30,35,GARRI,BEANS,"150,000",CASH,RENT,WEEKLY
24,25,FEMALE,20,30,MAGGI STAR,RICE,"1,200,000",CASH,SELF OWN,DAILY
25,35,FEMALE,10,40,RICE,MAIZE,"500,000",CASH,RENT,MONTHLY
26,29,MALE,5,20,RICE,BEANS,"200,000",CASH,RENT,WEEKLY
27,25,FEMALE,15,30,BEVERAGE,NOODLES,"50,000",CASH,RENT,WEEKLY
28,28,MALE,60,100,RICE,FLOUR,"80,000",CASH,RENT,MONTHLY
29,24,MALE,100,150,OIL,RICE,"2,000,000",CASH,SELF OWN,WEEKLY
30,59,MALE,40,80,RICE,GARRI,"500,000",CASH,SELF OWN,WEEKLY
31,34,MALE,20,30,RICE,GARRI,"200,000",CASH,RENT,NO RECORD
32,25,MALE,40,60,RICE,GARRI,"400,000",CASH,RENT,DAILY
33,63,MALE,400,200,RICE,SOYA BEANS,"1,000,000",CASH & CASHLESS,SELF OWN,WEEKLY
34,28,MALE,50,20,RICE,GARRI,"150,000",CASH & CASHLESS,RENT,NO RECORD
35,25,MALE,30,20,RICE,CORN,"170,000",CASH,RENT,NO RECORD
36,26,MALE,20,25,BEANS & RICE,GARRI,"300,000",CASH & CASHLESS,RENT,WEEKLY
37,28,FEMALE,10,30,SOYA BEANS,RICE,"200,000",CASH,RENT,WEEKLY
38,23,FEMALE,4,6,BEANS,MILLET,"100,000",CASH,RENT,NO RECORD
39,34,FEMALE,60,30,DORO & RICE,BEANS & CORN,"150,000",CASH,RENT,NO RECORD
40,28,MALE,30,40,RICE,MAIZE,"200,000",CASH,RENT,NO RECORD
41,68,FEMALE,6,10,RICE & BEANS,MILLET,"400,000",CASH,RENT,NO RECORD
42,57,FEMALE,50,30,BEANS |& RICE,GROUNDNUT,"300,000",CASH,RENT,NO RECORD
43,49,FEMALE,10,40,BEANS & RICE,MILLET,"150,000",CASH,RENT,NO RECORD
44,65,MALE,20,70,SPAGHETTI,RICE,"350,000",CASH & CASHLESS,SELF OWN,MONTHLY
45,39,FEMALE,20,30,RICE,NOODLES,"100,000",CASH & CASHLESS,SELF OWN,WEEKLY
46,45,FEMALE,30,60,RICE & SPAGHETTI,MACCARONI,"200,000",CASH & CASHLESS,RENT,WEEKLY
47,46,MALE,10,50,CORN FLOUR,GUINEA CORN,"150,000",CASH,SELF OWN,WEEKLY
48,35,FEMALE,20,50,RICE & BEANS,MILLET,"200,000",CASH,RENT,WEEKLY
49,38,FEMALE,15,30,SOYA BEANS,CORN & MILLET,"100,000",CASH,RENT,WEEKLY
50,56,MALE,60,20,MILLET & RICE,BEANS,"250,000",CASH,SELF OWN,WEEKLY
